EmployeeID,Employee_Count,Job_Role,Department,Job_Level,Job_Involvement,Performance_Rating,Over_Time,Training_Times_Last_Year,Business_Travel,Standard_Hours,Environment_Satisfaction,Job_Satisfaction,Percent_Salary_Hike
1,1,"Sales Executive",Sales,2,3,3,Yes,0,Travel_Rarely,80,2,4,11
2,1,"Research Scientist","Research & Development",2,2,4,No,3,Travel_Frequently,80,3,2,23
4,1,"Laboratory Technician","Research & Development",1,2,3,Yes,3,Travel_Rarely,80,4,3,15
5,1,"Research Scientist","Research & Development",1,3,3,Yes,3,Travel_Frequently,80,4,3,11
7,1,"Laboratory Technician","Research & Development",1,3,3,No,3,Travel_Rarely,80,1,2,12
8,1,"Laboratory Technician","Research & Development",1,3,3,No,2,Travel_Frequently,80,4,4,13
10,1,"Laboratory Technician","Research & Development",1,4,4,Yes,3,Travel_Rarely,80,3,1,20
11,1,"Laboratory Technician","Research & Development",1,3,4,No,2,Travel_Rarely,80,4,3,22
12,1,"Manufacturing Director","Research & Development",3,2,4,No,2,Travel_Frequently,80,4,3,21
13,1,"Healthcare Representative","Research & Development",2,3,3,No,3,Travel_Rarely,80,3,3,13
14,1,"Laboratory Technician","Research & Development",1,4,3,No,5,Travel_Rarely,80,1,2,13
15,1,"Laboratory Technician","Research & Development",2,2,3,Yes,3,Travel_Rarely,80,4,3,12
16,1,"Research Scientist","Research & Development",1,3,3,No,1,Travel_Rarely,80,1,3,17
18,1,"Laboratory Technician","Research & Development",1,3,3,No,2,Travel_Rarely,80,2,4,11
19,1,"Laboratory Technician","Research & Development",1,2,3,Yes,4,Travel_Rarely,80,3,3,14
20,1,"Manufacturing Director","Research & Development",3,4,3,No,1,Travel_Rarely,80,2,1,11
21,1,"Research Scientist","Research & Development",1,4,3,Yes,5,Travel_Rarely,80,1,2,12
22,1,"Laboratory Technician","Research & Development",1,4,3,Yes,2,Non-Travel,80,4,4,13
23,1,Manager,Sales,4,2,3,No,3,Travel_Rarely,80,1,4,16
24,1,"Research Scientist","Research & Development",1,3,3,Yes,3,Travel_Rarely,80,4,4,11
26,1,"Manufacturing Director","Research & Development",2,4,3,No,5,Non-Travel,80,1,3,18
27,1,"Sales Representative",Sales,1,2,4,No,4,Travel_Rarely,80,3,1,23
28,1,"Research Director","Research & Development",3,3,3,No,4,Travel_Rarely,80,1,2,11
30,1,"Research Scientist","Research & Development",1,3,3,No,6,Travel_Rarely,80,3,4,14
31,1,"Research Scientist","Research & Development",1,3,3,No,2,Travel_Rarely,80,2,1,11
32,1,Manager,"Research & Development",5,3,3,No,3,Travel_Rarely,80,3,3,11
33,1,"Research Scientist","Research & Development",1,1,4,Yes,5,Travel_Frequently,80,2,1,22
35,1,"Sales Executive",Sales,2,3,3,No,2,Travel_Rarely,80,3,2,11
36,1,"Healthcare Representative","Research & Development",3,2,3,No,4,Travel_Rarely,80,1,4,14
38,1,Manager,Sales,5,3,3,No,2,Travel_Rarely,80,2,1,12
39,1,"Laboratory Technician","Research & Development",1,3,3,No,3,Travel_Rarely,80,3,4,11
40,1,"Healthcare Representative","Research & Development",2,3,3,Yes,5,Travel_Rarely,80,4,4,13
41,1,"Laboratory Technician","Research & Development",1,2,3,No,5,Travel_Rarely,80,4,3,13
42,1,"Sales Representative",Sales,2,3,3,No,6,Travel_Rarely,80,4,4,14
45,1,"Research Scientist","Research & Development",1,3,3,Yes,2,Travel_Rarely,80,2,4,16
46,1,"Research Scientist","Research & Development",1,4,3,No,3,Travel_Rarely,80,4,3,12
47,1,"Sales Representative",Sales,1,2,3,Yes,2,Travel_Rarely,80,1,3,14
49,1,"Sales Representative",Sales,1,3,3,No,3,Travel_Rarely,80,4,4,13
51,1,"Research Scientist","Research & Development",1,2,3,Yes,3,Travel_Rarely,80,2,1,14
52,1,"Sales Executive",Sales,2,4,3,No,3,Travel_Frequently,80,3,1,19
53,1,"Laboratory Technician","Research & Development",1,3,3,No,3,Travel_Rarely,80,3,4,12
54,1,"Laboratory Technician","Research & Development",1,3,3,No,6,Travel_Rarely,80,4,1,13
55,1,"Laboratory Technician","Research & Development",1,1,3,No,2,Travel_Rarely,80,1,3,12
56,1,"Sales Executive",Sales,3,3,3,No,0,Travel_Frequently,80,4,3,15
57,1,"Laboratory Technician","Research & Development",2,3,4,No,2,Travel_Frequently,80,3,4,23
58,1,"Research Director","Research & Development",5,3,3,No,0,Travel_Rarely,80,2,3,12
60,1,"Sales Executive",Sales,2,3,4,No,2,Non-Travel,80,2,3,20
61,1,"Research Scientist","Research & Development",1,3,4,No,1,Travel_Rarely,80,2,2,21
62,1,"Sales Executive",Sales,2,3,4,Yes,4,Travel_Frequently,80,1,4,21
63,1,"Laboratory Technician","Research & Development",1,4,3,No,2,Travel_Rarely,80,4,4,19
64,1,"Laboratory Technician","Research & Development",3,2,3,Yes,2,Travel_Rarely,80,1,3,13
65,1,"Laboratory Technician","Research & Development",1,3,3,Yes,3,Travel_Rarely,80,3,3,13
68,1,"Sales Executive",Sales,2,3,4,Yes,2,Travel_Rarely,80,2,1,21
70,1,"Healthcare Representative","Research & Development",3,2,3,Yes,3,Non-Travel,80,3,1,13
72,1,"Sales Executive",Sales,2,2,3,Yes,2,Travel_Rarely,80,3,4,19
73,1,"Research Director","Research & Development",3,3,3,Yes,1,Travel_Frequently,80,1,4,12
74,1,"Sales Executive",Sales,3,3,4,No,3,Travel_Frequently,80,2,1,22
75,1,"Laboratory Technician","Research & Development",1,3,3,Yes,3,Travel_Rarely,80,3,1,15
76,1,"Laboratory Technician","Research & Development",2,3,4,No,3,Travel_Rarely,80,4,4,22
77,1,"Manufacturing Director","Research & Development",2,2,3,No,2,Travel_Rarely,80,1,3,18
78,1,"Manufacturing Director","Research & Development",2,3,4,Yes,3,Travel_Rarely,80,1,4,22
79,1,"Laboratory Technician","Research & Development",2,3,3,No,2,Travel_Frequently,80,4,4,11
80,1,"Research Director","Research & Development",5,2,3,Yes,2,Travel_Rarely,80,2,3,12
81,1,"Sales Executive",Sales,3,3,3,No,3,Travel_Rarely,80,1,1,11
83,1,"Healthcare Representative","Research & Development",3,3,3,No,2,Travel_Rarely,80,3,3,13
84,1,Manager,"Research & Development",4,3,3,Yes,2,Travel_Rarely,80,4,3,14
85,1,"Manufacturing Director","Research & Development",2,2,3,No,3,Travel_Frequently,80,2,2,13
86,1,"Research Scientist","Research & Development",3,3,3,No,2,Travel_Rarely,80,2,1,17
88,1,"Research Scientist","Research & Development",1,3,3,No,2,Travel_Frequently,80,2,1,13
90,1,"Research Scientist","Research & Development",1,2,3,Yes,0,Travel_Rarely,80,4,3,17
